Measure,Sensor,tu,ts,d,acy
3,74,1312250000000,1402495988950,1.048931,0
3,157,1312500000000,1402495989154,1.4849147,0
3,74,1312500000000,1402495989202,1.048931,0
3,157,1312750000000,1402495989402,1.4849147,0
3,74,1312750000000,1402495989447,1.048931,0
3,157,1313000000000,1402495989650,1.4849147,0
3,74,1313000000000,1402495989700,1.048931,0
3,157,1313250000000,1402495989901,1.4849147,0
3,74,1313250000000,1402495989943,1.048931,0
3,157,1314000000000,1402495990151,1.4849147,0
3,74,1314000000000,1402495990199,1.048931,0
3,157,1314250000000,1402495990406,1.4849147,0
3,74,1314250000000,1402495990457,1.048931,0
3,157,1314500000000,1402495990648,1.4568669,0
3,74,1314500000000,1402495990686,1.0152099,0
3,157,1314750000000,1402495990898,1.4568669,0
3,74,1314750000000,1402495990936,0.94134617,0
3,157,1315000000000,1402495991149,1.3902295,0
3,74,1315000000000,1402495991204,0.94134617,0
3,157,1315250000000,1402495991398,1.3669068,0
3,74,1315250000000,1402495991452,0.93043864,0
3,157,1316000000000,1402495991648,1.3669068,0
3,74,1316000000000,1402495991697,0.89443415,0
3,157,1316250000000,1402495991905,1.603421,0
3,74,1316250000000,1402495991949,0.89228296,0
3,157,1316500000000,1402495992150,1.603421,0
3,74,1316500000000,1402495992193,0.89228296,0
3,157,1316750000000,1402495992399,1.603421,0
3,74,1316750000000,1402495992440,0.8296387,0
3,157,1317000000000,1402495992655,1.3981798,0
3,74,1317000000000,1402495992693,0.7120893,0
3,157,1317250000000,1402495992904,1.2170957,0
3,74,1317250000000,1402495992958,0.694633,0
3,157,1318000000000,1402495993152,1.1905731,0
3,74,1318000000000,1402495993209,0.694633,0
3,157,1318250000000,1402495993400,1.1905731,0
3,74,1318250000000,1402495993454,0.694633,0
3,157,1318500000000,1402495993651,1.33025,0
3,74,1318500000000,1402495993711,0.694633,0
3,157,1318750000000,1402495993899,1.467301,0
3,74,1318750000000,1402495993957,0.694633,0
3,157,1319000000000,1402495994155,1.467301,0
3,74,1319000000000,1402495994202,0.694633,0
3,157,1319250000000,1402495994402,1.467301,0
3,74,1319250000000,1402495994442,0.694633,0
3,157,1320000000000,1402495994662,1.3873762,0
